페이지,출제분야,과목명,문제,정답,문제해설,출제근거,문제해설
9,구급,119구급대원 현장응급처치 표준지침,빈맥에 대한 설명으로 옳지 않은 것은?,④,넓은 QRS 빈맥은 주로 심실에서 기원하는 경우가 많다.,「119구급대원 현장응급처치 표준지침」 P.233,넓은 QRS 빈맥은 주로 심실에서 기원하는 경우가 많다.
10,구급,119구급대원 현장응급처치 표준지침,흉통환자에게 니트로글리세린 투여 금기증으로 옳은 것은?,①,"수축기 혈압 90mmHg 이하, 분당 50회 미만 서맥, 심부전이 없는 빈맥(>100회/분), PDE5 억제제 복용은 금기이다.",「119구급대원 현장응급처치 표준지침」 P.227,"수축기 혈압 90mmHg 이하, 분당 50회 미만 서맥, 심부전이 없는 빈맥(>100회/분), PDE5 억제제 복용은 금기이다."
11,구급,119구급대원 현장응급처치 표준지침,아프가(Apgar) 점수의 내용으로 옳은 것은?,③,"아프가 점수는 출산 후 1분과 5분에 측정하며, 호흡이 없더라도 소생술을 중단하지 않는다.",「119구급대원 현장응급처치 표준지침」 P.284,"아프가 점수는 출산 후 1분과 5분에 측정하며, 호흡이 없더라도 소생술을 중단하지 않는다."
12,구급,119구급대원 현장응급처치 표준지침,화상 손상 깊이에 대한 내용으로 옳은 것은?,③,3도 화상은 진피 전층과 피하조직 손상으로 통증이 없고 수포가 형성되지 않는다.,「119구급대원 현장응급처치 표준지침」 P.363,3도 화상은 진피 전층과 피하조직 손상으로 통증이 없고 수포가 형성되지 않는다.
13,구급,119구급대원 현장응급처치 표준지침,급성심근경색 환자의 심전도 리듬에 대한 내용으로 옳은 것은?,③,"하벽 심근경색은 II, III, aVF 유도에서 ST 상승이 나타난다.",「119구급대원 현장응급처치 표준지침」 P.602,"하벽 심근경색은 II, III, aVF 유도에서 ST 상승이 나타난다."
14,구급,119구급대원 현장응급처치 표준지침,급성 질환 성인의 특정 산소화 목표 수치로 옳은 것은?,④,심정지 후 자발순환회복 환자의 목표 산소포화도는 94~98%이다.,「119구급대원 현장응급처치 표준지침」 P.494,심정지 후 자발순환회복 환자의 목표 산소포화도는 94~98%이다.
15,구급,119구급대원 현장응급처치 표준지침,다음 중 생리학적 기준으로 판단되는 중증외상 기준으로 옳은 것은?,②,생리학적 중증외상 기준에는 수축기 혈압 90mmHg 미만이 포함된다.,「119구급대원 현장응급처치 표준지침」 P.321,생리학적 중증외상 기준에는 수축기 혈압 90mmHg 미만이 포함된다.
16,구급,119구급대원 현장응급처치 표준지침,아나필락시스 진단 기준 내용으로 옳은 것은?,①,피부 증상과 함께 호흡기 또는 심혈관계 증상이 있으면 아나필락시스로 진단할 수 있다.,「119구급대원 현장응급처치 표준지침」 P.266,피부 증상과 함께 호흡기 또는 심혈관계 증상이 있으면 아나필락시스로 진단할 수 있다.
17,구급,119구급대원 현장응급처치 표준지침,쇼크환자의 처치 및 이송에 관한 설명 중 맞는 것은?,③,쇼크의 초기 변화는 맥박 상승이며 활력징후 평가 시 빈맥을 우선 확인한다.,「119구급대원 현장응급처치 표준지침」 P.213,쇼크의 초기 변화는 맥박 상승이며 활력징후 평가 시 빈맥을 우선 확인한다.
18,구급,119구급대원 현장응급처치 표준지침,빈맥 환자에 대한 설명으로 옳지 않은 것을 고르시오?,③,빈맥이 증상을 유발하는 경우는 보통 분당 150회 이상에서 나타난다.,「119구급대원 현장응급처치 표준지침」 P.233,빈맥이 증상을 유발하는 경우는 보통 분당 150회 이상에서 나타난다.
19,구급,119구급대원 현장응급처치 표준지침,가래를 동반한 기침과 폐기종으로 분류되는 질환은?,②,만성폐쇄성폐질환은 만성 기관지염과 폐기종으로 구분된다.,「119구급대원 현장응급처치 표준지침」 P.219,만성폐쇄성폐질환은 만성 기관지염과 폐기종으로 구분된다.
20,구급,119구급대원 현장응급처치 표준지침,니트로글리세린 설하정에 대한 설명으로 틀린 것은?,③,니트로글리세린은 중증 빈혈 환자에게 금기이다.,「119구급대원 현장응급처치 표준지침」 P.531,니트로글리세린은 중증 빈혈 환자에게 금기이다.
21,구급,119구급대원 현장응급처치 표준지침,쇼크 환자의 응급처치에 대한 설명으로 바른 것은?,③,심장성 쇼크에서 폐부종이 없을 경우 제한적 수액 투여가 가능하다.,「119구급대원 현장응급처치 표준지침」 P.214,심장성 쇼크에서 폐부종이 없을 경우 제한적 수액 투여가 가능하다.
22,구급,119구급대원 현장응급처치 표준지침,두부손상 환자의 응급처치로 틀린 것은?,①,코나 귀에서 혈액이나 뇌척수액이 흐를 경우 막지 말고 닦아준다.,「119구급대원 현장응급처치 표준지침」 P.331,코나 귀에서 혈액이나 뇌척수액이 흐를 경우 막지 말고 닦아준다.
23,구급,119구급대원 현장응급처치 표준지침,비 외상성 쇼크의 임상적 특징으로 틀린 것은?,③,쇼크에서는 혈관 수축으로 피부가 창백하고 차가워진다.,「119구급대원 현장응급처치 표준지침」 P.213,쇼크에서는 혈관 수축으로 피부가 창백하고 차가워진다.
24,구급,119구급대원 현장응급처치 표준지침,뇌졸중의 일반적인 증상의 특징으로 틀린 것은?,④,편측 대뇌 병변은 보통 의식저하를 일으키지 않는다.,「119구급대원 현장응급처치 표준지침」 P.249,편측 대뇌 병변은 보통 의식저하를 일으키지 않는다.
25,구급,119구급대원 현장응급처치 표준지침,니트로글리세린을 투여할 수 있는 흉통 환자는?,①,수축기 혈압이 90mmHg 이상이면 투여를 고려할 수 있다.,「119구급대원 현장응급처치 표준지침」 P.531,수축기 혈압이 90mmHg 이상이면 투여를 고려할 수 있다.
26,구급,119구급대원 현장응급처치 표준지침,경련성 질환의 정의 중 다른 것은?,③,간질 지속상태는 경련이 5~10분 이상 지속되는 경우이다.,「119구급대원 현장응급처치 표준지침」 P.255,간질 지속상태는 경련이 5~10분 이상 지속되는 경우이다.
27,구급,119구급대원 현장응급처치 표준지침,화상 환자에 대한 설명으로 옳지 않은 것은?,④,3도 화상은 통증이 거의 없다.,「119구급대원 현장응급처치 표준지침」 P.363,3도 화상은 통증이 거의 없다.
28,구급,119구급대원 현장응급처치 표준지침,영아 심실세동 2번째 제세동 용량은?,④,두 번째 제세동은 4J/kg 이상으로 시행한다.,「119구급대원 현장응급처치 표준지침」 P.303,두 번째 제세동은 4J/kg 이상으로 시행한다.
29,구급,119구급대원 현장응급처치 표준지침,서맥의 임상학적 특징과 응급처치 지침이 아닌 것은?,②,서맥의 원인은 교감신경 항진이 아니다.,「119구급대원 현장응급처치 표준지침」 P.230,서맥의 원인은 교감신경 항진이 아니다.
30,구급,119구급대원 현장응급처치 표준지침,경련에 대한 설명으로 틀린 것은?,②,뇌전증은 만성적인 질환이다.,「119구급대원 현장응급처치 표준지침」 P.255,뇌전증은 만성적인 질환이다.
31,구급,119구급대원 현장응급처치 표준지침,복부 및 골반 손상의 임상적 특징이 아닌 것은?,④,골반 골절은 대량 출혈과 쇼크를 유발할 수 있다.,「119구급대원 현장응급처치 표준지침」 P.342,골반 골절은 대량 출혈과 쇼크를 유발할 수 있다.
32,구급,119구급대원 현장응급처치 표준지침,다발성 또는 중증외상환자 신체검사 기준으로 틀린 것은?,②,중증외상 기준은 두 개 이상의 근위부 긴뼈 골절이다.,「119구급대원 현장응급처치 표준지침」 P.321,중증외상 기준은 두 개 이상의 근위부 긴뼈 골절이다.
